pathway,year,sector,score,display_unit,activity_name,reference_product,activity_unit,location,relevance,method,package_sha256
SSP2-PkBudg1000,2025,Electricity,0.05168621014818481,kg CO2-eq / kWh,"market group for electricity, medium voltage","electricity, medium voltage",kilowatt hour,ENC,"DAC fans, compression and heat pumps",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2025,District heat,0.04154646642141222,kg CO2-eq / MJ,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC,BECCS no-retrofit heat replacement in every model year,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2025,Cement,0.8391303822933767,kg CO2-eq / kg,"cement production, Portland","cement, Portland",kilogram,ENC,capture plants and storage infrastructure,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2025,Steel,1.820847470903259,kg CO2-eq / kg,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC,"contactors, compressors and pipelines",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2030,Electricity,0.04685261526192742,kg CO2-eq / kWh,"market group for electricity, medium voltage","electricity, medium voltage",kilowatt hour,ENC,"DAC fans, compression and heat pumps",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2030,District heat,0.036265718383116125,kg CO2-eq / MJ,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC,BECCS no-retrofit heat replacement in every model year,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2030,Cement,0.8140434824127948,kg CO2-eq / kg,"cement production, Portland","cement, Portland",kilogram,ENC,capture plants and storage infrastructure,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2030,Steel,1.3428956146750846,kg CO2-eq / kg,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC,"contactors, compressors and pipelines",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2050,Electricity,0.023886026671594035,kg CO2-eq / kWh,"market group for electricity, medium voltage","electricity, medium voltage",kilowatt hour,ENC,"DAC fans, compression and heat pumps",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2050,District heat,0.0179779094733021,kg CO2-eq / MJ,"market for heat, district or industrial","heat, district or industrial",megajoule,ENC,BECCS no-retrofit heat replacement in every model year,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2050,Cement,0.6511784558890245,kg CO2-eq / kg,"cement production, Portland","cement, Portland",kilogram,ENC,capture plants and storage infrastructure,IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
SSP2-PkBudg1000,2050,Steel,1.026795761053632,kg CO2-eq / kg,"market for steel, low-alloyed","steel, low-alloyed",kilogram,ENC,"contactors, compressors and pipelines",IPCC 2021 (incl. biogenic CO2) no LT - climate change: total (incl. biogenic CO2) no LT - global warming potential (GWP100) no LT,a69a4f1d809711761f9cef9754968f80752adab2bcb46e60c91c0ca837310152
